X,Y
"Квантовая накопительная ячейка основывается на физическом эффекте, в соответствии с которым очень малые частицы химически сильно биполярного кристаллического материала, которые разделены друг от друга изолирующей средой, становятся проводящими под влиянием сильного электрического поля и при критическом напряжении благодаря эффекту виртуального фотонного резонанса, причем указанные частицы, таким образом, локально концентрируют однородное электрическое поле в течение очень короткого промежутка времени до такой степени, что будет идентифицироваться обмен зарядов без потерь за счет импульсов тока, по существу соответствующих функции Дирака и имеющих постоянное напряжение.",Импульс тока; Однородное электрическое поле; Химически сильно биполярный кристаллический материал; Очень малые частицы; Проводящие частицы;
"На данном физическом эффекте реализуется способ передачи электрической энергии на относительно короткое расстояние через диэлектрическую среду без использования электрических проводов и без необходимости любого, даже самого слабого физического контакта (например, такого как заземление).",Переменный электрический ток; Электрическая энергия; Диэлектрическая среда с проницаемостью; Вакуум;
"Аккумулирование энергии, получаемой в результате реакции между биокатализатором и субстратом.",Реакция между биокатализатором и субстратом;
В зависимости от концентрации субстрата для ферментативной реакции схема беспроводной передачи приводится в действие и передается сигнал.,Фермент;
"Измерение частоты разрядки энергии, получаемой в результате энергии с использованием калибровочной кривой, подготовленной на основе соотношения между частотой разрядки и концентрацией субстрата.",Частота разрядки аккумулятора;
"Основной принцип действия, по которому может быть осуществлен способ или работать устройство для получения энергии, описывается следующим образом: вещество (= носитель) с помощью подведенной из вне энергии переводится в газообразное агрегатное состояние, потом вследствие физического эффекта адиабатического расширения, который играет основную роль, транспортируется на высоту h и там возвращается в первоначальное агрегатное состояние (= конденсируется).",Потенциальная энергия; Газообразное вещество; Носитель с любым видом энергии; Твердое агрегатное состояние; Конденсат;
"Электроспрей» является одним из современных способов «мягкой» ионизации, который позволяет переводить в газовую фазу и одновременно ионизировать большие биологические молекулы, такие как пептиды, белки и полинуклеотиды.",Энергия ионизации; Большие биологические молекулы; Газовая фаза и ионизированные молекулы;
"Осуществляют фоторегистрацию света, отраженного от поверхности контактного датчика (контактной поверхности), разрушающейся при контакте с исследуемым процессом, при этом фоторегистрацию осуществляют ПЗС-матрицей (матрицей приборов с зарядовой связью), измеряющей величину электрического заряда, накопленного в течение времени экспонирования в том или ином пикселе ПЗС-матрицы, являющемся изображением соответственно того или иного участка контактной поверхности.",Электрический заряд; Контактная поверхность;
"a) первое преобразование (TR1), на котором каждый двухмерный набор данных (OSn) объекта виртуальных слоев сечения преобразуется в распределение двухмерного волнового поля и распределение волнового поля определяется для виртуального окна (OW) наблюдателя в опорном слое (RL) на определенном расстоянии (DM ) от слоя (HL) видеоголограммы;",Слои сечения; Двумерное волновое поле; Виртуальный набор слоев сечения голограммы; Распределение волнового поля в слоях сечения;
"Смысл достигается в способе прочтения закрытых документов, основанном на микроскопическом ультразвуковом «прозвучивании» бумажного носителя с интересующей текстовой или графической информацией, защищенной непрозрачными для видимого диапазона волн покрытиями и различного рода мешающими текстами и рисунками на наружных частях бумажного носителя, с последующей визуализацией интересующей информации на дисплее персонального компьютера, а также на сканировании бумажного носителя относительно фокального пятна формирующей акустической оптики, работающей в режиме «на прохождение», с передачей на компьютер текущих координат сканируемых зон бумажного носителя, отличающимся тем, что «прозвучивание» интересующего слоя на бумажном носителе осуществляют импульсными линейно-частотно-модулированными ультразвуковыми колебаниями с большой величиной произведения ширины спектра такого импульсного сигнала на величину его длительности, а принимаемые пьезоэлектрическим датчиком сигналы, прошедшие сквозь «прозвучиваемый» бумажный носитель, подвергают спектровременному «сжатию» в согласованном фильтре на дисперсионной линии задержки, затем полученный сверхкороткий радиоимпульс после его усиления и амплитудного детектирования подвергают пороговому ограничению по минимуму, порог ограничения в котором автоматически устанавливают по управляющему сигналу из персонального компьютера так, чтобы отсекались сигналы помех, после чего полученные полезные импульсные сигналы сравнивают по амплитудам с эталонным сигналом, величину которого определяют по сигнальному отклику с порогового устройства, соответствующему тем зонам бумажного носителя, которые заведомо не содержат элементов текстовой или графической информации в интересующем слое бумажного носителя, но содержат квазиоднородное защитное покрытие, причем акустическую приемно-передающую оптику выбирают короткофокусной, обеспечивающей минимальные размеры диска Эйри в совмещенной фокальной плоскости обеих акустических линз, которую совмещают с плоскостью интересующего слоя бумажного носителя.",Плоская ультразвуковая волна; Изменение интенсивности ультразвуковой волны;
