-DOCSTART- -X- O O
технический	O
результат	O
обеспечение	B-PRO
защиты	I-PRO
от	I-PRO
перегрева	I-PRO
и	O
повышение	O
срока	O
эксплуатации	O
образующего	O
аэрозоль	O
устройства	O
-DOCSTART- -X- O O	
технический	O
результат	O
устойчивость	B-PRO
покрытия	I-PRO
к	I-PRO
толчкам	I-PRO
или	I-PRO
ударам	I-PRO
длительный	O
межремонтный	O
период	O
отсутствие	O
склонности	O
к	O
образованию	O
трещин	O
вклад	O
в	O
теплоизоляцию	O
зданий	O
-DOCSTART- -X- O O	
технический	O
результат	O
уменьшение	B-PRO
образования	I-PRO
парниковых	I-PRO
газов	I-PRO
повышение	O
физико	O
механических	O
свойств	O
бетона	O
-DOCSTART- -X- O O	
поэтому	O
задача	O
настоящего	O
изобретения	O
обеспечить	B-PRO
добавку	I-PRO
для	I-PRO
гидравлически	I-PRO
схватывающихся	I-PRO
композиций	I-PRO
которая	O
действует	O
как	O
ускоритель	O
твердения	O
более	O
предпочтительно	O
для	O
увеличения	O
начальных	O
прочностей	O
с	O
начальной	O
прочностью	O
предпочтительно	O
относящейся	O
к	O
прочности	O
на	O
сжатие	O
после	O
24	O
часов	O
особенно	O
предпочтительно	O
к	O
прочности	O
на	O
сжатие	O
после	O
десяти	O
часов	O
и	O
наиболее	O
предпочтительно	O
к	O
прочности	O
на	O
сжатие	O
после	O
шести	O
часов	O
-DOCSTART- -X- O O	
таким	O
образом	O
одна	O
из	O
задач	O
настоящего	O
изобретения	O
заключается	O
в	O
том	O
чтобы	O
при	O
изготовлении	O
закаленной	O
в	O
штампе	O
детали	O
с	O
пределом	O
прочности	O
на	O
растяжение	O
от	O
950	O
мпа	O
до	O
1200	O
мпа	O
доля	B-PRO
поверхности	I-PRO
занимаемая	I-PRO
ферритом	I-PRO
не	I-PRO
превышала	I-PRO
5	I-PRO
в	O
противном	O
случае	O
требуемая	O
прочность	O
не	O
может	O
быть	O
достигнута	O
-DOCSTART- -X- O O	
одной	O
из	O
целей	O
изобретения	O
является	O
разработать	B-PRO
схему	I-PRO
способа	I-PRO
гидроконверсии	I-PRO
позволяющую	O
повысить	O
стабильность	O
выходящих	O
потоков	O
при	O
заданном	O
уровне	O
конверсии	O
тяжелых	O
фракций	O
и	O
таким	O
образом	O
получить	O
возможность	O
повысить	O
конверсию	O
по	O
сравнению	O
с	O
классическими	O
способами	O
гидроконверсии	O
-DOCSTART- -X- O O	
технический	O
результат	O
устойчивость	B-PRO
покрытия	I-PRO
к	I-PRO
толчкам	I-PRO
или	I-PRO
ударам	I-PRO
длительный	O
межремонтный	O
период	O
отсутствие	O
склонности	O
к	O
образованию	O
трещин	O
вклад	O
в	O
теплоизоляцию	O
зданий	O
-DOCSTART- -X- O O	
технический	O
результат	O
уменьшение	B-PRO
образования	I-PRO
парниковых	I-PRO
газов	I-PRO
повышение	O
физико	O
механических	O
свойств	O
бетона	O
-DOCSTART- -X- O O	
технический	O
результат	O
улучшение	B-PRO
физических	I-PRO
свойств	I-PRO
обеспечение	O
длительного	O
хранения	O
и	O
устойчивости	O
и	O
возможности	O
использования	O
в	O
дождливую	O
погоду	O
или	O
зимой	O
-DOCSTART- -X- O O	
задачей	O
изобретения	O
является	O
разработка	B-PRO
зернистого	I-PRO
углеродного	I-PRO
материала	I-PRO
из	I-PRO
возобновляемого	I-PRO
сырья	I-PRO
применимого	O
например	O
в	O
качестве	O
наполнителя	O
который	O
будучи	O
введен	O
например	O
в	O
резиновые	O
смеси	O
после	O
их	O
сшивки	O
демонстрирует	O
резинотехнические	O
свойства	O
сравнимые	O
как	O
в	O
отношении	O
размеров	O
зерна	O
так	O
и	O
в	O
отношении	O
поверхности	O
бэт	O
stsa	O
со	O
свойствами	O
классической	O
сажи	O
-DOCSTART- -X- O O	
технический	O
результат	O
заключается	O
в	O
получении	B-PRO
судовых	I-PRO
топлив	I-PRO
с	I-PRO
низким	I-PRO
содержанием	I-PRO
серы	I-PRO
в	O
состав	O
которых	O
входит	O
по	O
меньшей	O
мере	O
один	O
остаточный	O
углеводородный	O
компонент	O
-DOCSTART- -X- O O	
0084	O
способ	O
для	O
измерения	B-PRO
размера	I-PRO
каждого	I-PRO
интерметаллического	I-PRO
соединения	I-PRO
и	I-PRO
общей	I-PRO
доли	I-PRO
площади	I-PRO
интерметаллических	I-PRO
соединений	I-PRO
размер	O
каждого	O
интерметаллического	O
соединения	O
размер	O
каждого	O
оксида	O
cr	O
и	O
общая	O
доля	O
площади	O
интерметаллических	O
соединений	O
и	O
оксидов	O
cr	O
измеряются	O
с	O
помощью	O
наблюдения	B-SOL
структуры	I-SOL
с	I-SOL
использованием	I-SOL
способа	I-SOL
извлечения	I-SOL
реплики	I-SOL
-DOCSTART- -X- O O	
0021	O
задачей	O
настоящего	O
изобретения	O
является	O
предложить	O
продукт	B-PRO
мартенситной	I-PRO
нержавеющей	I-PRO
стали	I-PRO
имеющий	I-PRO
предел	I-PRO
текучести	I-PRO
724	I-PRO
мпа	I-PRO
или	I-PRO
больше	I-PRO
и	O
имеющий	O
превосходную	O
стойкость	O
к	O
сульфидному	O
растрескиванию	O
под	O
напряжением	O
-DOCSTART- -X- O O	
при	O
использовании	O
предлагаемого	O
способа	O
удаления	B-PRO
серосодержащих	I-PRO
соединений	I-PRO
из	I-PRO
газовой	I-PRO
фазы	I-PRO
этот	O
способ	O
может	O
быть	O
осуществлен	O
путем	O
контактирования	B-SOL
газовой	I-SOL
фазы	I-SOL
с	I-SOL
каплями	I-SOL
многокомпонентного	I-SOL
очищающего	I-SOL
состава	I-SOL
-DOCSTART- -X- O O	
технический	O
результат	O
заключается	O
в	O
удалении	B-PRO
серосодержащих	I-PRO
соединений	I-PRO
из	O
потоков	O
сухого	O
газа	O
или	O
потоков	O
не	O
осушенного	O
газа	O
а	O
также	O
в	O
предотвращении	O
коррозии	O
удаление	O
серосодержащих	O
соединений	O
из	O
потоков	O
сухого	O
газа	O
серосодержащими	O
соединениями	O
которые	O
могут	O
быть	O
удалены	O
с	O
использованием	O
способа	O
соответствующего	O
настоящему	O
изобретению	O
являются	O
