-DOCSTART- -X- O O
Квантовая	O
накопительная	O
ячейка	O
основывается	O
на	O
физическом	O
эффекте,	O
в	O
соответствии	O
с	O
которым	O
очень	B-PRO
малые	I-PRO
частицы	I-PRO
химически	B-PRO
сильно	I-PRO
биполярного	I-PRO
кристаллического	I-PRO
материала,	I-PRO
которые	O
разделены	O
друг	O
от	O
друга	O
изолирующей	O
средой,	O
становятся	O
проводящими	O
под	O
влиянием	O
сильного	O
электрического	O
поля	O
и	O
при	O
критическом	O
напряжении	O
благодаря	O
эффекту	O
виртуального	O
фотонного	O
резонанса,	O
причем	O
указанные	O
частицы,	O
таким	O
образом,	O
локально	O
концентрируют	O
однородное	B-PRO
электрическое	I-PRO
поле	I-PRO
в	O
течение	O
очень	O
короткого	O
промежутка	O
времени	O
до	O
такой	O
степени,	O
что	O
будет	O
идентифицироваться	O
обмен	O
зарядов	O
без	O
потерь	O
за	O
счет	O
импульсов	B-PRO
тока,	I-PRO
по	O
существу	O
соответствующих	O
функции	O
Дирака	O
и	O
имеющих	O
постоянное	O
напряжение.	O
-DOCSTART- -X- O O	
На	O
данном	O
физическом	O
эффекте	O
реализуется	O
способ	O
передачи	O
электрической	B-PRO
энергии	I-PRO
на	O
относительно	O
короткое	O
расстояние	O
через	O
диэлектрическую	O
среду	O
без	O
использования	O
электрических	O
проводов	O
и	O
без	O
необходимости	O
любого,	O
даже	O
самого	O
слабого	O
физического	O
контакта	O
(например,	O
такого	O
как	O
заземление).	O
-DOCSTART- -X- O O	
Аккумулирование	O
энергии,	O
получаемой	O
в	O
результате	O
реакции	B-PRO
между	I-PRO
биокатализатором	I-PRO
и	I-PRO
субстратом.	I-PRO
-DOCSTART- -X- O O	
Электроспрей»	O
является	O
одним	O
из	O
современных	O
способов	O
«мягкой»	O
ионизации,	O
который	O
позволяет	O
переводить	O
в	O
газовую	O
фазу	O
и	O
одновременно	O
ионизировать	O
большие	B-PRO
биологические	I-PRO
молекулы,	I-PRO
такие	O
как	O
пептиды,	O
белки	O
